iter	Passed	Remaining
501	623	618
502	624	617
503	626	616
504	627	614
505	628	613
506	629	612
507	630	611
508	632	609
509	633	608
510	634	607
511	636	606
512	637	605
513	638	604
514	640	602
515	641	601
516	642	600
517	643	599
518	645	598
519	646	596
520	647	595
521	649	594
522	650	593
523	651	591
524	652	590
525	654	589
526	655	588
527	656	587
528	658	585
529	659	584
530	660	583
531	661	582
532	662	580
533	663	579
534	665	578
535	666	577
536	668	576
537	669	574
538	670	573
539	671	572
540	673	571
541	674	569
542	675	568
543	677	567
544	678	566
545	679	564
546	680	563
547	682	562
548	683	561
549	684	560
550	685	558
551	687	557
552	688	556
553	689	555
554	690	553
555	692	552
556	693	551
557	694	550
558	695	548
559	697	547
560	698	546
561	699	545
562	700	543
563	702	542
564	703	541
565	704	540
566	706	539
567	707	537
568	708	536
569	709	535
570	711	534
571	712	532
572	713	531
573	714	530
574	716	529
575	717	528
576	718	527
577	720	525
578	721	524
579	723	523
580	724	522
581	725	521
582	727	520
583	728	518
584	729	517
585	730	516
586	732	515
587	733	514
588	734	512
589	736	511
590	737	510
591	738	509
592	739	507
593	740	506
594	742	505
595	743	504
596	744	502
597	746	501
598	747	500
599	748	499
600	749	497
601	751	496
602	752	495
603	753	494
604	755	492
605	756	491
606	757	490
607	759	489
608	760	488
609	761	487
610	762	485
611	764	484
612	765	483
613	766	481
614	767	480
615	769	479
616	770	478
617	771	477
618	772	475
619	774	474
620	775	473
621	776	472
622	778	470
623	779	469
624	780	468
625	781	467
626	783	465
627	784	464
628	785	463
629	786	462
630	788	460
631	789	459
632	790	458
633	792	457
634	793	455
635	794	454
636	795	453
637	797	452
638	798	451
639	799	449
640	801	448
641	802	447
642	803	446
643	805	445
644	806	443
645	807	442
646	809	441
647	810	440
648	811	439
649	812	437
650	814	436
651	815	435
652	816	434
653	818	432
654	819	431
655	820	430
656	821	429
657	823	427
658	824	426
659	825	425
660	827	424
661	828	422
662	829	421
663	830	420
664	832	419
665	833	417
666	834	416
667	835	415
668	836	414
669	838	412
670	839	411
671	840	410
672	842	409
673	843	407
674	844	406
675	845	405
676	847	404
677	848	402
678	849	401
679	851	400
680	852	399
681	853	398
682	854	396
683	856	395
684	857	394
685	859	393
686	860	391
687	861	390
688	862	389
689	863	388
690	865	386
691	866	385
692	867	384
693	869	383
694	870	382
695	872	380
696	873	379
697	874	378
698	875	377
699	877	375
700	878	374
701	879	373
702	880	372
703	882	370
704	883	369
705	884	368
706	886	367
707	887	366
708	888	364
709	890	363
710	891	362
711	892	361
712	893	359
713	895	358
714	896	357
715	897	356
716	899	354
717	900	353
718	901	352
719	903	351
720	904	349
721	905	348
722	906	347
723	908	346
724	909	344
725	910	343
726	912	342
727	913	341
728	914	340
729	916	338
730	917	337
731	918	336
732	919	335
733	921	333
734	922	332
735	923	331
736	924	330
737	926	328
738	927	327
739	928	326
740	929	325
741	931	323
742	932	322
743	933	321
744	935	320
745	936	318
746	937	317
747	939	316
748	940	315
749	941	313
750	943	312
751	944	311
752	945	310
753	947	308
754	948	307
755	949	306
756	950	305
757	951	303
758	953	302
759	954	301
760	955	300
761	957	298
762	958	297
763	959	296
764	960	295
765	962	293
766	963	292
767	964	291
768	966	290
769	967	289
770	968	287
771	970	286
772	971	285
773	972	284
774	974	282
775	975	281
776	976	280
777	978	279
778	979	277
779	980	276
780	982	275
781	983	274
782	984	272
783	986	271
784	987	270
785	988	269
786	989	267
787	991	266
788	992	265
789	994	264
790	995	263
791	996	261
792	998	260
793	999	259
794	1001	258
795	1002	256
796	1003	255
797	1005	254
798	1006	253
799	1008	252
800	1009	250
801	1010	249
802	1012	248
803	1013	247
804	1015	245
805	1016	244
806	1017	243
807	1019	242
808	1021	241
809	1022	239
810	1023	238
811	1024	237
812	1026	236
813	1027	234
814	1028	233
815	1030	232
816	1031	230
817	1032	229
818	1033	228
819	1034	227
820	1035	225
821	1036	224
822	1038	223
823	1039	222
824	1041	220
825	1042	219
826	1043	218
827	1045	217
828	1046	215
829	1047	214
830	1049	213
831	1050	212
832	1052	210
833	1053	209
834	1055	208
835	1056	207
836	1057	206
837	1059	204
838	1060	203
839	1061	202
840	1063	201
841	1064	199
842	1065	198
843	1067	197
844	1068	196
845	1070	194
846	1071	193
847	1072	192
848	1074	191
849	1075	189
850	1077	188
851	1078	187
852	1080	186
853	1081	184
854	1082	183
855	1084	182
856	1085	181
857	1086	179
858	1088	178
859	1089	177
860	1090	176
861	1092	174
862	1093	173
863	1094	172
864	1095	171
865	1097	169
866	1098	168
867	1099	167
868	1101	165
869	1102	164
870	1103	163
871	1105	162
872	1106	160
873	1107	159
874	1108	158
875	1109	157
876	1110	155
877	1112	154
878	1113	153
879	1114	152
880	1116	150
881	1117	149
882	1118	148
883	1119	146
884	1121	145
885	1122	144
886	1124	143
887	1125	141
888	1126	140
889	1127	139
890	1129	138
891	1130	136
892	1131	135
893	1132	134
894	1134	133
895	1135	131
896	1136	130
897	1138	129
898	1139	127
899	1140	126
900	1141	125
901	1142	124
902	1143	122
903	1145	121
904	1146	120
905	1147	119
906	1148	117
907	1150	116
908	1151	115
909	1152	113
910	1153	112
911	1154	111
912	1156	110
913	1157	108
914	1158	107
915	1159	106
916	1161	105
917	1162	103
918	1163	102
919	1165	101
920	1166	100
921	1167	98
922	1169	97
923	1170	96
924	1171	94
925	1172	93
926	1174	92
927	1175	91
928	1176	89
929	1177	88
930	1178	87
931	1180	86
932	1181	84
933	1182	83
934	1183	82
935	1185	81
936	1186	79
937	1187	78
938	1188	77
939	1190	75
940	1191	74
941	1192	73
942	1193	72
943	1195	70
944	1196	69
945	1197	68
946	1198	67
947	1199	65
948	1201	64
949	1202	63
950	1203	62
951	1204	60
952	1205	59
953	1207	58
954	1208	56
955	1209	55
956	1210	54
957	1211	53
958	1213	51
959	1214	50
960	1215	49
961	1217	48
962	1218	46
963	1219	45
964	1220	44
965	1222	43
966	1223	41
967	1224	40
968	1225	39
969	1226	37
970	1227	36
971	1228	35
972	1229	34
973	1231	32
974	1232	31
975	1234	30
976	1235	29
977	1236	27
978	1238	26
979	1239	25
980	1240	24
981	1242	22
982	1243	21
983	1245	20
984	1246	18
985	1247	17
986	1249	16
987	1250	15
988	1251	13
989	1253	12
990	1254	11
991	1255	10
992	1256	8
993	1257	7
994	1258	6
995	1260	5
996	1261	3
997	1262	2
998	1264	1
999	1265	0
