iter	Logloss
0	0.6563622439
1	0.629021447
2	0.6024373894
3	0.5779198302
4	0.5532506277
5	0.5318654639
6	0.5124342046
7	0.4931322461
8	0.4757463265
9	0.4610178088
10	0.4470333711
11	0.4349302154
12	0.4231334899
13	0.4121841203
14	0.4029636319
15	0.3924471676
16	0.3836735166
17	0.3754540303
18	0.3678520804
19	0.3607137992
20	0.3533607857
21	0.3465206075
22	0.3412765432
23	0.3348777642
24	0.3303568323
25	0.3261076619
26	0.322016649
27	0.3181063429
28	0.3146268871
29	0.3110367504
30	0.3078023504
31	0.3047320064
32	0.3014097172
33	0.2988611981
34	0.2950806916
35	0.292929569
36	0.2909558089
37	0.2888646805
38	0.2869544067
39	0.2850757324
40	0.2834471356
41	0.2816643153
42	0.2799786419
43	0.2780617857
44	0.2769199823
45	0.2756874408
46	0.2744612732
47	0.273009656
48	0.2720909406
49	0.2709090366
50	0.2700245216
51	0.2692890747
52	0.2686235033
53	0.2678338703
54	0.2669208664
55	0.2659839404
56	0.2652395822
57	0.2646919997
58	0.2640967985
59	0.2635091092
60	0.2628454504
61	0.2616465981
62	0.2610755584
63	0.2605336073
64	0.2600432594
65	0.2594683851
66	0.2587365187
67	0.2582958302
68	0.2579411166
69	0.2571902096
70	0.2563777577
71	0.256022143
72	0.2556659416
73	0.2552618144
74	0.2548001023
75	0.2542864068
76	0.2537542887
77	0.253339175
78	0.2530219744
79	0.2525988492
80	0.2523810701
81	0.2521048198
82	0.2519283891
83	0.2515678277
84	0.2510694512
85	0.2505672775
86	0.2502291234
87	0.2499105904
88	0.2496334319
89	0.2494153276
90	0.2491664604
91	0.2490020437
92	0.2487974054
93	0.2485423877
94	0.2483989171
95	0.2482239103
96	0.2478412063
97	0.2476913009
98	0.2475495257
99	0.2473143865
100	0.2470932957
101	0.246909301
102	0.2467470524
103	0.2466445766
104	0.2465216922
105	0.2463588167
106	0.2461919643
107	0.2459263246
108	0.2458141199
109	0.2456950769
110	0.2455143787
111	0.2453665666
112	0.2452483319
113	0.2451125528
114	0.2450045475
115	0.2448773615
116	0.2447337024
117	0.2444721728
118	0.2443916048
119	0.2443169461
120	0.244202375
121	0.2441389517
122	0.2440456042
123	0.2439169918
124	0.2438127605
125	0.2435555103
126	0.2434770758
127	0.2434239189
128	0.2433189993
129	0.2432211311
130	0.2430521796
131	0.242978184
132	0.242844168
133	0.2426473172
134	0.242572962
135	0.2424301459
136	0.2423548479
137	0.2422775164
138	0.2421697182
139	0.2420002923
140	0.2419369111
141	0.2417776221
142	0.2416728762
143	0.2414966965
144	0.2413436583
145	0.2411347161
146	0.2410637963
147	0.2408821153
148	0.2408041974
149	0.2407446776
150	0.2405551418
151	0.2403801341
152	0.2402694936
153	0.240206671
154	0.2401673182
155	0.2401183917
156	0.2400754078
157	0.2399758347
158	0.239909575
159	0.23978368
160	0.2396781473
161	0.2395815305
162	0.2394752416
163	0.2394037233
164	0.2391461461
165	0.2391019211
166	0.239037989
167	0.2390285278
168	0.2389612401
169	0.2388629768
170	0.2387873969
171	0.2387430593
172	0.2387043051
173	0.2386071275
174	0.2385507833
175	0.2384704958
176	0.2382917569
177	0.238242704
178	0.2380142558
179	0.2379814391
180	0.2378982169
181	0.2377886275
182	0.2377386296
183	0.2376857876
184	0.2376148894
185	0.2375510525
186	0.2374550647
187	0.2373900511
188	0.2373124677
189	0.237236945
190	0.2372047219
191	0.2371762795
192	0.2370860344
193	0.2370259064
194	0.2368456677
195	0.2367517674
196	0.2366820348
197	0.236634502
198	0.2365119302
199	0.2364487864
200	0.236370089
201	0.2362744274
202	0.2362223148
203	0.2361699854
204	0.2360899849
205	0.2360499742
206	0.2359763148
207	0.2358490542
208	0.2357987005
209	0.2357459269
210	0.2357276903
211	0.2356468242
212	0.2356092109
213	0.2355423282
214	0.2355025975
215	0.2354536327
216	0.2354318068
217	0.2353722424
218	0.2353206842
219	0.2352413634
220	0.2351295749
221	0.2350616541
222	0.2350221947
223	0.2349672909
224	0.2349395392
225	0.2349073552
226	0.2348758294
227	0.2348370769
228	0.2347525988
229	0.2346955925
230	0.234599138
231	0.2345798493
232	0.2345232908
233	0.2344276299
234	0.2343813912
235	0.2343333172
236	0.2342877881
237	0.2342498488
238	0.2341096835
239	0.2340275989
240	0.233980447
241	0.2339371156
242	0.2338895
243	0.2338530409
244	0.2338207645
245	0.2337980991
246	0.2337787748
247	0.233736716
248	0.2337112975
249	0.2336816481
250	0.2336666093
251	0.2335296199
252	0.233493253
253	0.2334779563
254	0.233413179
255	0.2333609852
256	0.2332694689
257	0.2332141863
258	0.233198429
259	0.233171789
260	0.2331188085
261	0.2330831732
262	0.2330343644
263	0.2330192428
264	0.2329854766
265	0.2329511142
266	0.2329003178
267	0.2328549603
268	0.2328122931
269	0.2327799361
270	0.2327519692
271	0.2327408296
272	0.2326974433
273	0.2326412943
274	0.2326169588
275	0.2325956808
276	0.2325193952
277	0.2324720793
278	0.2324318906
279	0.2324161743
280	0.2323748195
281	0.2323400128
282	0.232324213
283	0.2322820475
284	0.2322190146
285	0.2321572997
286	0.2321323695
287	0.2320992259
288	0.2320718554
289	0.2320571672
290	0.2320361938
291	0.2319805854
292	0.2319661659
293	0.2319415668
294	0.231930644
295	0.2318461211
296	0.2318190739
297	0.2317933482
298	0.2317603144
299	0.2317182017
300	0.2317061407
301	0.2316833499
302	0.231661616
303	0.231645954
304	0.2316292591
305	0.2315749513
306	0.2315512104
307	0.2315339596
308	0.2314822264
309	0.2314683793
310	0.2314477038
311	0.2314054021
312	0.231376615
313	0.2313577536
314	0.2313329319
315	0.2312975939
316	0.2312335569
317	0.2312128
318	0.2311670018
319	0.231109552
320	0.231091231
321	0.2310456225
322	0.2310275378
323	0.2310092456
324	0.2309935007
325	0.2309507926
326	0.230920982
327	0.2309021749
328	0.2308274334
329	0.2308100617
330	0.2307898189
331	0.2307808286
332	0.2307627267
333	0.2307430566
334	0.2307162279
335	0.2306982863
336	0.2306750874
337	0.2306151167
338	0.2306030574
339	0.2305914045
340	0.2305646843
341	0.2305497533
342	0.2305216534
343	0.2305034991
344	0.2304681071
345	0.2304372684
346	0.2304250203
347	0.2304012811
348	0.2303587895
349	0.2303503338
350	0.2303311751
351	0.2303181969
352	0.2302952822
353	0.2302830874
354	0.2302657962
355	0.2302401047
356	0.2302205931
357	0.2301977107
358	0.2301828323
359	0.2301644094
360	0.2301494504
361	0.2301248644
362	0.2301182521
363	0.2300980806
364	0.2300747503
365	0.2300567841
366	0.2300160739
367	0.2300034462
368	0.2299858321
369	0.2299184354
370	0.22989185
371	0.2298750472
372	0.2298645867
373	0.2298584082
374	0.2298428103
375	0.229814951
376	0.2297805337
377	0.2297688282
378	0.2297572838
379	0.229735549
380	0.2297149633
381	0.2296551275
382	0.2296383806
383	0.2296049931
384	0.2295876223
385	0.2295810854
386	0.2295652313
387	0.2295454965
388	0.229519752
389	0.2295045762
390	0.2294903225
391	0.2294716306
392	0.2294440167
393	0.2294251076
394	0.2294161113
395	0.2294050547
396	0.2293552389
397	0.2293440822
398	0.2293201803
399	0.2293084665
400	0.2292900117
401	0.2292679263
402	0.2292519097
403	0.2292349181
404	0.2292251344
405	0.2292116659
406	0.2291970321
407	0.2291800678
408	0.2291295532
409	0.2291133153
410	0.2291036085
411	0.2290917865
412	0.2290700371
413	0.2290544819
414	0.229022694
415	0.2290054045
416	0.2289934231
417	0.2289697388
418	0.2289531097
419	0.2289321579
420	0.2289203145
421	0.2289044612
422	0.2288947571
423	0.2288725354
424	0.2288418586
425	0.2288279843
426	0.2288119949
427	0.2288008255
428	0.2287834811
429	0.2287681689
430	0.2287475476
431	0.2287262107
432	0.2286939329
433	0.2286776994
434	0.2286625778
435	0.2286427399
436	0.2286248541
437	0.2286110077
438	0.2285930537
439	0.2285748441
440	0.2285526765
